#Datum Aktivität 1.1.13
#Isotop Quellennr Ort 		Akt[kBq]	Akt[MBq]	HWZ[a]
22Na	7006	Schrank014	2.60E-02	2.60E-05	2.60E+00
22Na	7090	Schrank014	3.23E-03	3.23E-06	2.60E+00
22Na	7358	Schrank014	1.13E-03	1.13E-06	2.60E+00
22Na	1X328	Schrank014	5.25E-02	5.25E-05	2.60E+00
22Na	1X574	Schrank014	8.35E-02	8.35E-05	2.60E+00
22Na	252-77	Schrank014	4.20E-02	4.20E-05	2.60E+00
22Na	A2332	Schrank014	1.07E-02	1.07E-05	2.60E+00
22Na	A2363	Schrank014	1.13E-02	1.13E-05	2.60E+00
22Na	BLAU	Schrank014	2.85E-03	2.85E-06	2.60E+00
22Na	G1	Schrank014	7.00E-03	7.00E-06	2.60E+00
22Na	KL983	FP	2.06E+01	2.06E-02	2.60E+00
22Na	KM956	FP	2.09E+01	2.09E-02	2.60E+00
22Na	Set 27	Tresor 9	1.78E-03	1.78E-06	2.60E+00
22Na	Stab 17	Schrank014	7.35E-04	7.35E-07	2.60E+00
22Na	Stab 18	Schrank014	7.86E-04	7.86E-07	2.60E+00
22Na	Stab 19	Schrank014	8.66E-04	8.66E-07	2.60E+00
22Na	YH 26	Tresor 8	9.84E-01	9.84E-04	2.60E+00
22Na	SR854	FP	1.94E+02	1.94E-01	2.60E+00
22Na	UT833	FP	2.86E+01	2.86E-02	2.60E+00
22Na	UT834	FP	4.55E+02	4.55E-01	2.60E+00
36Cl	Präp 3	Tresor 9	#WERT!		3.05E+05
49V	9969	Schrank014	2.55E-11	2.55E-14	3.30E+02
54Mn	1V384	Schrank014	6.61E-10	6.61E-13	3.12E+02
54Mn	1V633	Schrank014	3.13E-09	3.13E-12	3.12E+02
54Mn	398-83	Schrank014	2.66E-08	2.66E-11	3.12E+02
55Fe	1132	Schrank014	5.01E-03	5.01E-06	2.70E+00
55Fe	9514	Schrank014	1.30E-03	1.30E-06	2.70E+00
55Fe	0602 LE	Tresor 7	1.07E+02	1.07E-01	2.70E+00
55Fe	188-83	Schrank014	6.29E-02	6.29E-05	2.70E+00
55Fe	1915 LG	Tresor 7	2.82E+01	2.82E-02	2.70E+00
55Fe	2740LE	Tresor 9	1.08E+03	1.08E+00	2.70E+00
57Co	3.079 DM	Tresor 13	2.62E+02	2.62E-01	2.72E+02
57Co	176-86	Tresor 5	6.40E-09	6.40E-12	2.72E+02
57Co	1T647	Schrank014	9.81E-12	9.81E-15	2.72E+02
57Co	1T733	Schrank014	1.56E-11	1.56E-14	2.72E+02
57Co	2009-1849	Halbl.Lab.	1.52E+01	1.52E-02	2.72E+02
57Co	460-82	Schrank014	2.94E-10	2.94E-13	2.72E+02
57Co	496 CF	Schrank014	4.12E-07	4.12E-10	2.72E+02
57Co	CF 495	Schrank014	3.95E-07	3.95E-10	2.71E+02
57Co	ES904	Schrank014	4.88E-05	4.88E-08	2.71E+02
57Co	FT380	Schrank014	3.49E-04	3.49E-07	2.72E+02
57Co	KL981	Schrank014	1.64E-02	1.64E-05	2.71E+02
57Co	KM958	Schrank014	1.58E-02	1.58E-05	2.71E+02
57Co	LC29	Schrank014	1.26E-11	1.26E-14	2.72E+02
57Co	Sr855	FP	3.49E+01	3.49E-02	2.72E+02
60Co	Schrank014	FP	3.79E-01	3.79E-04	5.27E+00
60Co	3971	Halbl.Lab.	5.53E-01	5.53E-04	5.27E+00
60Co	7005	Halbl.Lab.	7.47E+00	7.47E-03	5.27E+00
60Co	1U352	Tresor 8	4.67E+00	4.67E-03	5.27E+00
60Co	291-77	Tresor 9	9.65E-01	9.65E-04	5.27E+00
60Co	307-79	Tresor 9	0.00E+00		5.27E+00
60Co	Schrank014	Tresor 4	7.13E-01	7.13E-04	5.27E+00
60Co	ES905	Halbl.Lab.	4.45E+01	4.45E-02	5.27E+00
60Co	KL982	FP	8.26E+01	8.26E-02	5.27E+00
60Co	KM717	Halbl.Lab.	8.14E+01	8.14E-02	5.27E+00
60Co	KM955	FP	8.97E+01	8.97E-02	5.27E+00
60Co	Set 27	Tresor 9	9.42E-01	9.42E-04	5.27E+00
60Co	Stab 10	Tresor 9	7.42E-01	7.42E-04	5.27E+00
60Co	Stab 13	FP	9.60E+00	9.60E-03	5.27E+00
60Co	Stab 14	FP	1.29E+00	1.29E-03	5.27E+00
60Co	Stab 15	FP	8.03E+00	8.03E-03	5.27E+00
60Co	Stab 16	Tresor 9	5.12E+00	5.12E-03	5.27E+00
60Co	YH 25	Tresor 8	1.89E+01	1.89E-02	5.27E+00
60Co	SW263	Tresor 13	3.19E+01	3.19E-02	5.27E+00
63Ni	Gas-Det	Lecksucher	3.00E+05	3.00E+02	9.20E+01
65Zn	168-86	Schrank014	2.58E-10	2.58E-13	2.44E+02
65Zn	267-84	Schrank014	1.21E-11	1.21E-14	2.44E+02
88Y	KM959	Schrank014	2.90E-09	2.90E-12	1.07E+02
88Y	YH 27	Schrank014	4.58E-21	4.58E-24	1.07E+02
